company_id,date,End of month account balance,Monthly average account balance,Monthly minimum balance,Maximum monthly balance,Account balance at the end of last month,Last month's average account balance,Last month's minimum balance,Last month's maximum balance
1000001,202510,6263388,6050223,5281276,8172875,6339422,5940900,5078155,8179477
1000002,202101,5941872,6114235,4722006,10977524,5868788,6014808,4696552,10756633
1000002,202102,7502850,7590101,4398497,18715703,7182651,7631363,4606750,18059241
1000002,202103,9750815,9307016,6432804,27794153,8961785,8411871,6746170,29587460
1000002,202104,6382046,6460256,4487584,10072086,6882192,6455948,4479096,10733051
1000002,202105,8330473,8171292,6864995,14786152,7516374,7829874,6339043,16228953
1000002,202106,8735870,8621190,7300117,12164925,7865170,9359084,6997751,11491202
1000002,202107,6362032,6533635,5496078,15347597,6777851,5994917,5226432,16539422
1000002,202108,8584540,8851463,6040924,25104268,9437518,8779448,6380455,25294286
1000002,202109,6951641,6882372,5406360,16112577,7267388,7498300,5060338,16407306
1000002,202110,8150029,8514459,4439485,18520495,7359922,9197378,4408338,19988404
1000002,202111,8155574,8079288,5921889,17547784,7709774,8404638,6124084,19101221
1000002,202112,7712706,7922365,4623587,9780219,8440511,8063955,5053382,10223871
1000002,202201,5694490,5685308,3830607,14156828,6045958,5435985,4213085,13726014
1000002,202202,9069681,9430230,6835094,20351403,9190851,9179304,7454247,20309348
1000002,202203,6738699,7013477,4062049,15881805,6384055,6438561,4239351,16247257
1000002,202204,6130443,5877511,3193188,17212696,5535017,6213831,3350574,18344052
1000002,202205,5470170,5708939,2757477,14165144,4945976,5507835,2900430,14612614
1000002,202206,7962413,8221617,4051783,20572796,8140740,8497504,4345622,20019172
1000002,202207,8355068,8598460,4205439,23909273,7556042,8353566,4585430,23516589
1000002,202208,5360592,5200262,2916923,15979262,5889821,5163163,2885248,14542527
1000002,202209,7605420,7837475,4531274,16765670,7123820,7923691,4455611,18188296
1000002,202210,6311555,6532543,3714278,8248413,6577533,6926915,3684908,7568940
1000002,202211,8208321,8035248,7344137,16189655,7642044,7571061,7578880,16448465
1000002,202212,6075390,6350155,3781337,15774398,6124106,6221583,3989647,16946914
1000002,202301,8415654,8036831,4636758,9700540,7709767,7442236,4980382,9547010
1000002,202302,7037502,6791125,5054509,8501908,7412992,6214912,5010242,9012235
1000002,202303,9529186,9564997,8034847,11698026,9691031,9765238,7815290,12408835
1000002,202304,5908465,5953246,4556750,14705979,5419441,5583062,4997253,13411400
1000002,202305,6830604,6929750,4224269,14017878,7306814,6319653,3997753,13771566
1000002,202306,5799522,5519387,4202603,10444394,5854059,5957734,3968942,10843423
1000002,202307,9474657,9910838,7446534,12323424,10273545,9978854,7767341,12132049
1000002,202308,9260124,8838406,7326997,23069343,10031720,8192545,6857566,23277738
1000002,202309,6454017,6223648,4947748,11035966,6996809,5667784,4848208,11244452
1000002,202310,8275422,7873248,7020240,13274734,7576620,7274660,6728741,12348766
1000002,202311,8987771,9047861,7622008,21026049,8306422,8995993,7116989,20655911
1000002,202312,7800714,8137913,5706804,16866085,8561604,8412104,5797778,15275489
1000002,202401,7684962,7812491,5163852,13745171,7665904,8033240,5033218,12781981
1000002,202402,6381126,6587017,4828139,14796722,6047028,6118578,4791671,14832985
1000002,202403,5707234,5429452,4721507,9219014,6015041,5574406,4434310,9354692
1000002,202404,9350172,9389457,4696225,24405608,8909377,9210804,4947817,22678835
1000002,202405,9364680,9326812,8398233,14381395,9790240,9261046,8087014,15116627
1000002,202406,8153634,8152792,4673316,11429695,8703654,8644291,4526310,11139353
1000002,202407,6821377,6529567,4693786,17644411,7209190,6310825,4461118,19128835
1000002,202408,6867496,6994156,5829212,16790992,6557150,6500367,5752736,16413741
1000002,202409,8574299,8577060,5058974,12407131,8405588,9217685,5022121,11538162
1000002,202410,9349694,9597600,6458002,12349701,9187478,9045028,6496319,12986872
1000002,202411,9304282,9290595,5145573,25056043,9288042,8907877,5626754,25395806
1000002,202412,8818576,8509380,5802892,22712569,8231916,8860970,6272568,22197848
1000002,202501,8194091,8315574,4677631,14108495,8116198,8620839,4779970,13702049
1000002,202502,5666629,5480982,3657531,13319836,5678849,5810279,3320236,12389496
1000002,202503,6017683,6241778,3907797,8039048,6055845,5847131,3995535,7783140
1000002,202504,9356236,9462070,8395054,19305568,9954848,9182522,7706103,17488312
1000002,202505,8032798,7757436,7212851,9121945,8060646,7176998,7516287,9126327
1000002,202506,5327109,5573401,2908146,9823421,5040280,5619146,2844211,10602857
1000002,202507,5745148,5755699,4540893,7136630,5932587,5516918,4847581,7558163
1000002,202508,8291359,7937233,4317295,16605765,8784386,8237158,4699400,15039911
1000002,202509,5308374,5375701,2718295,10092254,5116605,4838501,2673231,10861809
1000002,202510,6013965,5865539,3260372,11693141,6188737,5348999,3234651,11581646
1000003,202101,5459679,5625485,4838336,6475886,5074157,5549608,4925568,6075535
1000003,202102,5915325,6103327,5183867,10571106,5728313,6662616,4869862,11104760
1000003,202103,5788225,6065450,3343111,14686575,6261961,6539587,3628835,14166298
1000003,202104,4426992,4427819,2499784,7972735,4791163,4865295,2466286,7579389
1000003,202105,5979883,5952947,3565290,14703496,6069969,5853925,3327713,13707535
1000003,202106,4468303,4581563,3155599,8051924,4649136,4166077,3321414,8030380
1000003,202107,4748864,4574329,3456611,9042572,5085098,4396804,3262454,8307219
1000003,202108,6089090,6117657,3584265,13221819,6647524,6332718,3328727,13977084
1000003,202109,5780815,5807549,4639966,16800757,5769122,5383788,4698310,16702219
1000003,202110,6416060,6152663,4002474,8384730,6495074,5906522,4139755,8295812
1000003,202111,5806213,5758592,5044742,6749932,5708252,5247420,5114927,6077441
1000003,202112,5521980,5717063,4211553,12452720,5049278,5688439,4343383,13244373
1000003,202201,4011343,4154208,2705813,11646069,3949410,3912367,2497748,11629384
1000003,202202,4883545,4687830,3984800,14555278,5167403,4304598,3965687,14380307
1000003,202203,4557271,4370751,3769618,9205286,4835160,4293140,3661820,9686510
1000003,202204,4489756,4383212,2766554,8931718,4842091,4252789,3028473,8150904
1000003,202205,6810043,7065260,4330409,15836286,6199136,7118274,3940346,15414028
1000003,202206,4964329,4780104,4340720,10701634,4991289,5018190,4165610,10863729
1000003,202207,6552355,6696504,3707954,15101653,6037896,6177616,4035634,14982584
1000003,202208,5721952,5493740,2957449,15796014,5379484,5813613,3243432,14790246
1000003,202209,6242880,6319753,4255285,15719457,6742580,5721006,4531794,15088404
1000003,202210,5312965,5236494,4359202,10860056,5309555,5176904,3989540,10426089
1000003,202211,5549337,5709665,4487567,10974049,5836287,5809504,4542633,12053831
1000003,202212,5280757,5140125,4582705,12226237,4820680,5609931,4491163,11801245
1000003,202301,4334608,4394946,3091790,8521154,4262503,4459923,3281287,8018716
1000003,202302,6012579,5853656,3246948,11843462,6222105,5454143,2957985,12607690
1000003,202303,4606826,4705255,3388208,5210233,4269059,4721762,3182969,5128089
1000003,202304,3790591,3932237,3075527,5423281,3658540,3850276,3068880,5362392
1000003,202305,5767572,5552327,3099096,11697650,5265271,5529402,2886899,11812027
1000003,202306,4276898,4433687,2433824,11389557,4406351,4165091,2527630,11607528
1000003,202307,6706438,6769193,3386189,10928686,7338038,6770312,3603424,11126616
1000003,202308,6749310,6497635,4977353,14126457,7190776,6042852,5180946,12811283
1000003,202309,6624978,6576974,5662327,11629671,7253851,6897986,5594700,12371277
1000003,202310,4891320,4725435,3757831,6354448,5229412,4814184,4042214,5966639
1000003,202311,3762394,3837772,3359125,10989076,4029671,3514269,3115713,10532682
1000003,202312,6667799,6840407,3502017,18162286,6770719,7373431,3334157,16976032
1000003,202401,5076000,4875902,4371453,6340612,5094529,4989393,4362307,6679297
1000003,202402,6789814,6793982,5605855,16754516,6662510,6544108,5114040,17034845
1000003,202403,6780155,6993475,4242319,11935797,7211501,6357967,3899273,12545229
1000003,202404,6428110,6708480,5717229,19221428,6019369,6885888,5599961,19811135
1000003,202405,4650355,4656641,2860782,7787285,4237612,4538772,3114754,7170779
1000003,202406,4938867,5161253,4226296,7673038,5381284,5582017,4571511,7368418
1000003,202407,6422149,6445068,5473593,13993811,5784786,5845519,5436345,14014144
1000003,202408,4721881,4671919,3791968,12686465,5172187,4241263,3520583,12191553
1000003,202409,4252652,4400730,3084823,6233477,4447298,4796178,2886226,5868574
1000003,202410,5485355,5481505,3005980,13427409,5297206,5991146,2932361,14420532
1000003,202411,6692740,6673935,4770509,8142872,6957531,6043571,4493890,8546406
1000003,202412,5928484,5922740,3810346,16872323,6305387,6178641,3492544,16350023
1000003,202501,5527558,5719245,4515389,6931791,5246052,5400677,4672323,7299193
1000003,202502,4022488,4156011,3231070,11411957,4240422,4323409,3283703,11703050
1000003,202503,5670610,5615899,4900796,11525706,6015802,6030052,4696233,10381862
1000003,202504,6864287,6749859,3472862,13394785,6520186,6210992,3666611,13074012
1000003,202505,4159051,4155693,3425566,12266220,3778020,3938571,3614622,11752234
1000003,202506,5362910,5401937,4694610,15990749,5045556,4887756,4686161,15088578
1000003,202507,6505653,6335424,5306792,15192901,6116154,5757417,4878568,14438085
1000003,202508,6070876,6249332,3351595,8144241,5543001,5661417,3632102,8864786
1000003,202509,5931622,5923604,3158657,12229362,6199740,6279828,3265205,12195895
1000003,202510,5949026,5850299,3024116,12525138,5806219,5614289,2871126,13396157
1000004,202101,2961804,2845352,2225790,6152994,3189499,2841488,2274959,5801309
1000004,202102,2833914,2759904,2130732,6183698,2693448,2918788,2090257,5781020
1000004,202103,3834864,4007157,3431303,4354783,3798994,4003104,3524188,4693401
1000004,202104,3836324,3761553,2528971,9404103,3942987,3708286,2515755,9396024
1000004,202105,3946863,3816166,2497426,9683822,4244823,3443382,2490169,10449138
1000004,202106,4036462,4020587,3026417,5325677,4056338,4075298,3169192,4860243
1000004,202107,3256501,3193679,2703688,7110423,3174127,2953988,2765183,7702629
1000004,202108,3237431,3086942,2831811,7057231,3475068,3250332,2593912,6937886
1000004,202109,3813388,3745946,3131743,9139378,3668667,3564445,2859515,8509438
1000004,202110,3525523,3541073,2364461,4450111,3228972,3664435,2272251,4613325
1000004,202111,3626444,3645197,2734214,8305848,3586583,3751799,2696069,8799053
1000004,202112,3808531,3753901,3208762,6220963,4025688,3841498,3064510,5657809
1000004,202201,3991369,3970335,2778966,8235414,3616803,3785279,2863146,9037866
1000004,202202,2920087,3056022,1713141,7502622,2970243,2913666,1608676,7798265
1000004,202203,2993033,2956322,1699711,7305177,3049579,3170979,1769107,7044238
1000004,202204,2446532,2387381,1223420,3243895,2656220,2154758,1290255,3017661
1000004,202205,3386406,3299533,2666101,7528830,3241782,3089367,2465780,7367007
1000004,202206,2333895,2324037,1270663,6864735,2230660,2375245,1308987,6481086
1000004,202207,3167725,3249933,1892828,4428042,3130018,3456008,2067511,4422864
1000004,202208,3317249,3219717,2053876,9024653,3222319,3128499,1927695,9533449
1000004,202209,2820231,2879257,2042275,6866815,2953540,2967617,2209456,7086732
1000004,202210,3410768,3247443,2248319,8767741,3507464,3284565,2296004,8655399
1000004,202211,2323333,2304498,1788663,3800324,2443644,2103794,1821196,3510696
1000004,202212,2336623,2401082,1220314,3848392,2486186,2459548,1110954,4200255
1000004,202301,3860557,3798298,2121668,10892318,4187145,4036757,2227030,10392078
1000004,202302,2963161,2982047,2073278,5285333,2922231,3275747,2064268,5050489
1000004,202303,2510727,2436655,1593774,3062407,2754115,2207434,1664274,3151524
1000004,202304,3277656,3356973,2026657,7345665,3091262,3464435,2151977,7743079
1000004,202305,3758463,3590188,1980000,5025642,3919599,3528831,1989423,5512277
1000004,202306,2682984,2777570,2302772,7012066,2701233,2505250,2193917,7670028
1000004,202307,3472981,3368165,2697559,8054948,3693098,3445202,2504183,8721511
1000004,202308,2429775,2520745,1333089,6710990,2418486,2330392,1242573,6624167
1000004,202309,2364440,2329571,1243738,6126715,2498711,2272993,1335012,5718271
1000004,202310,3295338,3368719,2932682,4326831,3578848,3207941,2711896,4399929
1000004,202311,3313349,3253452,2559459,6043662,3467283,3163112,2500434,5460154
1000004,202312,3501198,3643315,2335237,9003906,3694530,3637992,2257835,8456916
1000004,202401,3673262,3536116,2867687,6953296,3355286,3436545,3077289,6261483
1000004,202402,4157971,4024300,3336907,12255596,3912615,4066741,3322020,11472551
1000004,202403,3266122,3263845,2652041,8158468,3575948,3093243,2915360,8117279
1000004,202404,2890901,2770043,1998048,3265127,3002597,2845034,2092777,3195465
1000004,202405,3807354,3691602,2558363,10553881,3854145,3952792,2737920,10277995
1000004,202406,2789744,2913543,1407178,3603035,2715523,2752754,1294230,3841521
1000004,202407,3116051,3264527,2712905,4259626,2832109,3269670,2578942,4408709
1000004,202408,2416402,2386501,1791334,6030217,2353157,2457470,1660726,6556572
1000004,202409,2313340,2411260,1344655,6346510,2312837,2442426,1334871,6277131
1000004,202410,4132347,4150870,3586221,8756708,3893877,4039335,3742786,8357804
1000004,202411,3886523,3797032,3365623,6409632,3632450,3905019,3142861,5925941
1000004,202412,3614814,3687977,3237693,6389182,3620898,3340013,2998212,6609004
1000004,202501,3057794,3106382,2597970,5355694,3110329,3025557,2657520,5721746
1000004,202502,2600453,2727647,2338103,4474569,2465186,2745437,2211991,4191542
1000004,202503,2567738,2507408,1535185,4009595,2612616,2267004,1528837,4313324
1000004,202504,2749787,2797099,2301296,6205849,2969956,2801377,2094693,6238462
1000004,202505,3330022,3180844,2761291,9359926,3312155,3278975,2861035,8693650
1000004,202506,3650953,3509896,2162737,6146220,3911915,3691854,2180608,6321833
1000004,202507,3545382,3369502,1912290,5157535,3848350,3108954,1968673,5178219
1000004,202508,2807408,2947626,2503557,7561185,2578544,3236826,2391100,6847686
1000004,202509,4117243,4241696,2546143,10331761,3784414,4331762,2433401,10123561
1000004,202510,3696173,3802150,3135673,10602806,3678464,3698118,3324666,11206716
1000005,202101,8471771,8480010,4249871,11983214,8621047,8054470,4435643,12116044
1000005,202102,8754160,8579135,4450701,12028894,8624394,8704213,4521670,11504533
1000005,202103,7808441,7536132,5359311,16621952,7537411,8111457,5496663,18046924
1000005,202104,6962410,6812491,4146016,15786735,7158741,6840511,3809396,14958812
1000005,202105,7495233,7402270,5815824,15082878,6748829,7641321,6230109,14336987
1000005,202106,9473466,9716280,6879874,21201963,10360321,9439747,7251259,20585576
1000005,202107,5813800,5836858,3087094,8387694,5502272,5706290,3142965,9049546
1000005,202108,6314319,6047528,3567914,12699775,6841057,5788905,3866616,12719143
1000005,202109,5969397,5681689,3911266,14030326,5502607,5915362,3652056,14541532
1000005,202110,5943437,5707085,3412968,11424131,5632104,5546359,3540379,12512311
1000005,202111,9953976,9864886,8131292,23799458,9426163,9254676,8884220,25147917
1000005,202112,9206723,9605551,6135618,18019982,10120311,9354655,5902475,16840034
1000005,202201,8077081,8188062,4340403,14004359,7276804,8767493,3919637,14812001
1000005,202202,6224539,6412411,4318194,10437615,6398375,6717965,4521034,10956024
1000005,202203,8162940,8135491,4378072,15352154,8766485,7866435,3946376,14531172
1000005,202204,8073626,7961940,4453209,9235180,8351800,8609737,4785003,8912594
1000005,202205,6595539,6337257,3929911,15632731,6414470,5798378,3581171,16289706
1000005,202206,7878594,8174776,6648044,21317117,8600760,7438643,6851161,20201775
1000005,202207,7704598,7922761,6701806,13666350,8310981,7332468,6537188,12868745
1000005,202208,8774487,8483277,7287238,10419378,8658584,7832532,6854872,10843389
1000005,202209,8869214,8880088,5619807,26384790,8999287,8148074,6067434,28393176
1000005,202210,5965958,5958425,3633140,9551657,6523797,6150694,3812069,8739798
1000005,202211,7586989,7681895,5460069,10170966,8319225,7836827,5285827,10060931
1000005,202212,8823760,9217464,6959663,15905090,8735210,9489573,6659218,16246016
1000005,202301,8219650,8285219,7375895,20575907,8790669,8597349,7724055,21301317
1000005,202302,9959042,9999094,5503648,16516488,9564624,10512806,5874121,18155570
1000005,202303,8985385,8581332,4669855,19695389,8755022,8078769,4871453,20415026
1000005,202304,6544997,6258920,5090321,12367190,6106249,6412017,5232839,12664383
1000005,202305,6090324,5899908,5072571,8062076,5736091,5994363,4796546,8851730
1000005,202306,8905274,8488926,7467424,15384264,9184673,9242165,7994331,14032504
1000005,202307,5873451,6016383,4530694,14550029,5886116,5694347,4756922,13311637
1000005,202308,8626444,8819098,7605127,19519981,8162568,8040764,7631401,19756885
1000005,202309,10371257,9993801,7305533,13768662,10169867,10300600,7322463,13379462
1000005,202310,8575735,8863947,7422520,12094466,8358225,9289722,7525207,11118920
1000005,202311,7653725,7389507,6789809,17736691,8399749,7069092,7235595,17050099
1000005,202312,8909552,8732408,7473893,23570124,9539574,8856143,7836017,24392035
1000005,202401,7998710,7797923,4990422,14109736,7819485,7110982,5345984,15183811
1000005,202402,8428761,8321131,4875922,18805327,9126521,9086749,4883024,17279554
1000005,202403,10377334,10122740,7463876,14779635,10050728,9333014,7649949,14898300
1000005,202404,7643549,7635103,5206830,12929942,7900221,6974774,5576069,12402699
1000005,202405,10474435,10377449,8914826,11925284,11452014,9431254,8437561,12324366
1000005,202406,10199561,10695840,5507892,26108064,9975739,10540262,5446226,26366280
1000005,202407,6706735,6408906,4044805,12487395,6948023,5892552,4142407,13553096
1000005,202408,6084381,5866670,4871882,16127495,5836045,6153724,5276390,14636294
1000005,202409,6239030,5960036,3356564,15260097,5947433,6435496,3031538,15168650
1000005,202410,5832645,5906043,3664684,15600074,5919150,5622811,3454018,14641479
1000005,202411,6207846,5931292,4065283,10197948,6802886,6084050,3849376,10272967
1000005,202412,9105067,9411397,6820036,13217885,9019723,8549950,6583534,14152599
1000005,202501,6093376,6100650,3432112,17954868,6626713,5962243,3282325,19431894
1000005,202502,7313114,7332864,6174036,18011635,7919171,7029198,6285340,17645032
1000005,202503,9901870,9962860,6723537,26583355,9414227,9422114,7242083,28240989
1000005,202504,5857505,5664683,5077336,6589420,5742486,5828645,5216432,6300155
1000005,202505,9752191,9457372,6701198,17295287,10031693,8757957,6354781,15587567
1000005,202506,7130386,7001195,4349650,17906907,7156120,7506275,4666089,19179153
1000005,202507,6324617,6383749,3521113,7894180,5813535,6594203,3614102,7293294
1000005,202508,9172656,8906757,4600068,19977548,10078360,9282150,4341509,18050158
1000005,202509,8838936,8499814,6300950,16928668,9285574,9239883,6126623,16433665
1000005,202510,10062328,10535375,5462462,11405360,9936939,11467487,5779246,11130217
1000006,202101,6244322,5945832,4100590,9668418,6391898,6007255,4296541,8850895
1000006,202102,6468945,6664758,4759259,10616216,5935351,6658599,4832154,11283302
1000006,202103,4756785,4893797,2902943,6243441,4752315,4732675,2696699,6125555
1000006,202104,4413349,4323852,2516004,10150350,4793631,4510271,2668619,10129894
1000006,202105,6295360,6065973,5098540,9824261,6794709,6112327,4902289,9361784
1000006,202106,6479957,6250325,5694044,10545981,6269203,6791446,6003342,10570250
1000006,202107,7083036,7222877,3826087,19879626,7127471,6845302,3939007,20940130
1000006,202108,5185552,5259605,2915504,10306460,5390260,5060005,2777991,11143721
1000006,202109,5052244,5195094,4466209,9321609,4890581,5004008,4209285,10198827
1000006,202110,6380068,6659183,3286460,15792933,5824847,7066722,3043860,15561484
1000006,202111,4949752,5044751,4410491,13999216,4955138,4640202,4182862,15371233
1000006,202112,6886855,6649844,3456221,7903141,7026845,6590858,3219697,7579042
1000006,202201,6649313,6478719,5648375,12977157,5992150,6384882,5780604,11697546
1000006,202202,5239324,5418610,3263732,11843411,4815541,4956012,3328212,12477310
1000006,202203,6296201,6113174,5511918,10736721,5927609,6004111,5606912,10046211
1000006,202204,6308258,6038594,3953878,16196923,6116552,6054750,4066080,14747152
1000006,202205,4169335,4254089,3175876,12282053,4203566,3884072,3375819,13323593
1000006,202206,6794246,6728020,3614627,19652438,6514109,6741290,3913594,20799396
1000006,202207,5489717,5720307,3276987,8813009,5243979,6245703,3100275,8112665
1000006,202208,6544388,6642720,5297497,10013193,7027821,7278978,5390494,10567743
1000006,202209,4881606,4681664,3473137,14250540,4535061,4711326,3180237,15230976
1000006,202210,6771164,7074415,5898954,13348632,6765015,7095775,5450801,14430676
1000006,202211,5108666,4985320,3430472,7641367,5571332,4771457,3536363,7708143
1000006,202212,3866314,3803375,3278344,9446542,3962982,4181518,3269545,9830850
1000006,202301,6803535,6737037,4623561,11160509,7099088,6432831,4862443,11745853
1000006,202302,4130467,3945101,3683134,6640837,4073662,3907939,3628386,6891381
1000006,202303,4879190,4877489,4312880,13518152,4410721,4392602,3991655,13915135
1000006,202304,6950241,6688438,4390152,9790876,7153369,6486757,4716826,9884005
1000006,202305,6952031,6883185,5939603,8497791,7135459,6293213,5444107,8462432
1000006,202306,5713603,5628304,4793967,9207209,5268430,5902767,4495748,10120794
1000006,202307,5905356,6066477,3450335,13305926,5860663,6140505,3296434,12873645
1000006,202308,5303192,5463969,3975888,7073752,5743705,5542837,4369724,6491255
1000006,202309,4793482,4627346,2536101,9567933,4510747,4429768,2493930,10075104
1000006,202310,4909894,4844372,4098211,11253184,4871693,5149466,4099611,10609106
1000006,202311,6038932,5962450,3441094,16381208,5991952,5370105,3626704,16488319
1000006,202312,6301138,6081486,3329054,9683287,6692768,5879095,3419880,8900493
1000006,202401,6429865,6621766,4244274,17058161,6847260,6832997,4534090,17465113
1000006,202402,6423427,6556538,4694040,9932685,6756506,7091449,4681303,10814722
1000006,202403,4130203,4002324,3477493,9854071,4019062,3789893,3805891,10292980
1000006,202404,5454150,5381458,4852540,10462585,4987315,5425693,5140598,9865244
1000006,202405,4019722,3861266,2716516,5297568,3898714,3890604,2662927,5796745
1000006,202406,5635098,5707343,2953798,13846002,5837726,6134451,2883658,13311787
1000006,202407,5280487,5080552,4222521,7993331,5494607,4623827,4585228,7891999
1000006,202408,6745490,7073276,4897693,9683720,7372820,6966434,5078335,9680073
1000006,202409,4982953,5122815,3384205,8873710,4936752,4797481,3466396,9744609
1000006,202410,4215117,4168851,2629000,9868648,4326763,3769919,2764567,9017756
1000006,202411,4300240,4334024,3014293,6642121,4333946,4028068,3050967,6903459
1000006,202412,6331136,6591562,4023258,9173543,5888739,7219699,3749005,8920226
1000006,202501,5860637,5892342,4704947,6557536,5815161,5556299,4534830,6004506
1000006,202502,4162764,4027265,2987022,8309384,4200091,4377661,3021638,9032353
1000006,202503,4106892,4057076,3493893,7862343,4477127,3817914,3157198,8003642
1000006,202504,6132349,6342777,4399454,9470485,5968663,6889898,4344329,9950672
1000006,202505,4069645,4128334,2422679,4891465,4460411,4255999,2546624,4637485
1000006,202506,6529292,6627704,5487456,12507421,6584529,6115009,5118955,13161661
1000006,202507,6149663,6375245,4445515,15974301,5832917,6479690,4058363,17023734
1000006,202508,4097837,4259280,2387958,10076728,3845135,4104680,2548442,9937325
1000006,202509,4109292,4281797,3079516,11241010,3814815,4181734,3151745,11402782
1000006,202510,7070343,6783887,4546843,7906107,7003786,6702712,4252734,8652241
1000007,202101,5106977,5129512,4278432,14995089,4618674,5050216,4540533,16034937
1000007,202102,5094951,5217489,3471291,8909455,5038952,5388736,3581073,8811183
1000007,202103,6560349,6728901,5186458,19561358,7201170,7090065,5014391,20205215
1000007,202104,7005940,7080704,3770698,11069223,7244291,6838795,3677332,11698467
1000007,202105,7134374,6896647,4697341,14239633,7505056,7481984,4374058,12884956
1000007,202106,6363415,6552676,5684416,11278915,5878529,7127301,6065562,11478249
